Time t / s;Rate R_B1 / 1/s
60;1,61666666666667
120,2;1,58333333333333
180,4;1,58333333333333
240,6;1,93333333333333
300,7;1,71666666666667
360,9;1,85
421,101;1,6
481,301;1,88333333333333
541,5;1,53333333333333
