Time t / s;Rate R_B1 / 1/s
5;55,6
10,2;43,6
15,4;40,6
20,601;28,6
25,801;25,4
31;21,2
36,201;15,6
41,4;15,4
46,6;12,8
51,8;8,4
57;10,6
62,2;9,8
67,4;9,6
72,601;8,6
77,8;7,2
83;8,2
88,2;7,6
93,4;6,8
98,6;6,8
103,801;8,8
108,999;5,8
114,2;5,8
119,4;5,2
124,6;5,8
129,8;7,4
135;6,6
140,2;7,8
145,4;6,8
150,601;5,6
155,799;6
161;7,2
166,2;5,4
171,4;5,2
176,501;5,6
181,701;7
186,901;7,2
192,099;6,4
197,3;4,4
202,501;5,6
207,701;6,6
212,9;6,6
218,101;8,2
223,3;7
228,5;4
233,7;6
238,9;4,8
244,1;5,8
249,299;7,6
