Time t / s;Rate R_B1 / 1/s
5,1;101,8
10,2;73,8
15,4;57,8
20,6;54
25,7;41,8
30,899;31,4
36,1;29,8
41,3;24,6
46,5;19,6
51,7;17,4
56,9;14,8
62,1;15
67,3;10,6
72,5;9,6
77,7;10,6
82,9;10
88,1;11,2
93,3;10,6
98,5;9
103,7;8,6
108,901;10,6
114,1;9,8
119,3;8,2
124,5;7,2
129,7;8,2
134,901;10,4
140,1;8,2
145,3;9,2
150,5;9,8
155,7;6,6
160,9;9,8
166,103;7,4
171,3;8
176,5;6,8
181,7;6,6
186,9;8,6
192,099;5,6
197,299;7,2
202,499;6,2
207,7;5,8
212,901;9,4
218,1;6,8
223,3;9,4
228,5;7,2
233,7;8,2
238,9;7,6
244,099;6,4
249,3;7,8
254,501;8,6
259,7;6,4
264,9;6,8
270,1;7
275,3;6
280,499;7,8
285,7;8,8
290,9;8,2
296,1;6,8
301,299;7,8
306,499;6
311,699;7,8
316,901;8
322,101;7,6
327,3;6
332,5;7
337,7;7
342,9;7,8
348,1;8,8
353,3;5,8
358,5;6
363,7;8,4
368,9;8,4
374,099;7
379,301;7,2
384,5;6,6
389,7;6,6
394,9;5,8
