Time t / s;Rate R_B1 / 1/s
5;35
10,2;33,6
15,399;23,6
20,601;19,6
25,801;16
31;12,2
36,2;11,8
41,4;8,4
46,6;9,8
51,801;7
57;6
62,2;6,6
67,4;6
72,601;5,6
77,8;4,8
83;4,6
88,201;5
93,401;5,2
98,6;3,2
103,8;4
109;3,6
114,2;4,6
119,4;5,6
124,6;5,8
129,8;4,6
135,002;5,6
140,201;5
145,401;6
150,599;3,4
155,8;3,4
160,999;4
166,2;4,2
171,4;5,6
176,6;4
181,8;5,2
187,001;4,4
192,2;4,6
197,4;5,6
202,6;4,2
207,799;6,2
212,999;5,4
218,2;4,4
223,4;3,2
228,6;4,4
233,8;4,4
239;4,4
244,2;3,6
249,399;4,4
