Time t / s;Rate R_B1 / 1/s
5,1;97,4
10,3;92
15,501;84,8
20,701;75,8
25,9;70,6
31,101;62,2
36,3;56,6
41,5;59,4
46,7;49,4
51,901;51,4
57,1;50,2
62,3;51
67,5;50,2
72,7;55,8
77,9;54,2
83,1;50,4
88,299;47
93,5;51,6
98,7;51,6
103,9;47,6
109,101;45,2
114,201;48,6
119,399;49
124,599;46
129,8;51,2
135;46,8
140,2;47,6
145,3;46,2
150,499;47,4
155,6;42,4
160,8;54,2
166;53,6
171,2;48,6
176,4;48,4
181,599;51,2
186,801;45,4
192;45,8
197,202;51,2
202,4;56,4
207,6;47
212,801;47,8
218;42,8
223,2;46,8
228,4;47,2
233,6;50,6
238,8;39,8
243,999;52,2
249,2;45,6
254,4;47,4
259,6;45,6
264,801;52,4
270;48,8
275,2;47,4
280,4;46,8
285,6;47
290,799;44
296;44,6
301,2;50,2
306,4;42,8
311,6;45
316,8;44,6
322;48,2
327,202;46,2
332,4;51
337,6;40,4
342,799;40
348;42,4
353,2;49,6
358,4;48,8
363,6;47,8
368,799;40,2
374;44,8
379,2;45,2
384,401;46,4
389,599;44,4
394,8;46,4
400;45
