Time t / s;Rate R_B1 / 1/s
5,099;59,2
10,3;62,8
15,5;45,4
20,7;43,4
25,899;40,6
31,1;37,8
36,3;31,6
41,5;27,8
46,6;24,6
51,799;25
56,9;19
62,1;25,2
67,301;24,8
72,5;24,6
77,699;21,2
82,8;24,2
88;17,2
93,199;19,6
98,4;16,2
103,599;19,2
108,7;21,2
113,899;21,6
119,099;18
124,299;20
129,5;19,6
134,7;19
139,899;21,4
145,099;16
150,299;17,6
155,5;14,6
160,699;16
165,9;18,2
171,1;22,4
176,3;13,4
181,5;15,6
186,601;22,8
191,8;14,8
197,001;16
202,2;18,2
207,399;18
212,6;16,8
217,8;21,4
223;21,8
228,2;14,6
233,401;17,8
238,6;17,4
243,799;17
249;18,4
254,2;18
259,4;20,6
264,6;18,2
269,799;17,4
274,999;15,4
280,2;14,8
285,399;17,6
290,599;18
295,8;18,6
301;17,8
306,199;20,6
311,399;18
316,6;18,8
321,8;18,6
327;14,2
332,199;17,6
337,4;13,8
342,6;18
347,8;16,6
353;16
358,099;15,6
363,299;17,6
368,499;17,2
373,699;16,6
378,899;15,8
384,1;14,6
389,3;16,6
394,499;18,8
399,7;17,2
