Time t / s;Rate R_B1 / 1/s
5,1;55,4
10,299;45,2
15,5;37
20,701;30
25,9;21
31,1;22
36,3;15,4
41,5;13,6
46,7;10
51,9;11
57,099;8,6
62,3;8,8
67,5;7,2
72,7;7,4
77,9;8,2
83,1;7,6
88,3;6
93,5;5,6
98,701;5,8
103,9;6,6
109,101;6,8
114,301;5,2
119,5;4,4
124,7;8,2
129,9;4,2
135,1;6
140,3;4,8
145,5;6,6
150,601;5,6
155,8;5
161,001;5,6
166,2;3,4
171,401;4,2
176,601;5,4
181,8;6,2
187;4,2
192,2;4,8
197,4;4,2
202,6;3,8
207,8;5,8
213;4
218,2;5
223,399;4,2
228,6;4,2
233,8;5,2
239;5,4
244,201;6,4
249,4;4,2
