Time t / s;Rate R_B1 / 1/s
5,1;64,2
10,3;54,2
15,5;48
20,602;37,4
25,8;30,2
31;30,2
36,201;26,2
41,4;23
46,601;24,4
51,801;21,6
57;18,8
62,2;15
67,4;20
72,599;15,2
77,801;15,6
83;19
88,199;15,2
93,4;16
98,599;17,2
103,8;17,8
109,001;12,6
114,2;17,4
119,4;13,4
124,599;17
129,8;18,4
134,999;13
140,201;16,6
145,401;17,2
150,6;17,2
155,801;13,4
161;15,8
166,199;17,6
171,4;13,2
176,6;14,8
181,8;16
187;12,6
192,199;15
197,4;15,4
202,6;18
207,799;18,2
212,999;16
218,199;18,6
223,4;16,8
228,6;11,2
233,8;12,8
239;13
244,2;17
249,4;17,8
254,6;18,4
259,799;15
265,001;15,4
270,2;15,8
275,4;17,6
280,6;14
285,8;13,8
291;14,2
296,2;16,2
301,4;15,2
306,6;14,6
311,8;13,2
316,999;13,2
322,199;14,8
327,401;17
332,6;17
337,799;17,4
342,9;14,4
348,099;13,8
353,301;17,2
358,4;16
363,6;13
368,8;16,8
373,999;16
379,2;13,6
384,4;17,4
389,6;13,6
394,799;14,2
400;12,8
